"","vacc","z.yr","vacc_type","group","pyears","event","Rate","RR_est"
"125","v1","20+ thru  27","AZ","65+",3764.4,16,4,NA
"126","v2","20+ thru  27","AZ","65+",3797,4,1,"0.25 (0.08, 0.74)"
"127","v1","27+ thru  34","AZ","65+",3696.6,19,5,NA
"128","v2","27+ thru  34","AZ","65+",3734.5,8,2,"0.42 (0.18, 0.95)"
"129","v1","34+ thru  41","AZ","65+",3662.1,14,4,NA
"130","v2","34+ thru  41","AZ","65+",3704.4,11,3,"0.78 (0.35, 1.71)"
"131","v1","41+ thru  48","AZ","65+",3615.4,15,4,NA
"132","v2","41+ thru  48","AZ","65+",3660.4,11,3,"0.72 (0.33, 1.58)"
"133","v1","48+ thru  55","AZ","65+",3533.3,10,3,NA
"134","v2","48+ thru  55","AZ","65+",3580.8,9,3,"0.89 (0.36, 2.19)"
"135","v1","55+ thru  62","AZ","65+",3179,16,5,NA
"136","v2","55+ thru  62","AZ","65+",3226,11,3,"0.68 (0.31, 1.46)"
"137","v1","62+ thru  69","AZ","65+",2647.4,12,5,NA
"138","v2","62+ thru  69","AZ","65+",2687.8,9,3,"0.74 (0.31, 1.75)"
"139","v1","69+ thru 183","AZ","65+",6423.3,45,7,NA
"140","v2","69+ thru 183","AZ","65+",6494.1,39,6,"0.86 (0.56, 1.32)"
"141","v1","-1+ thru  13","PB","65+",6373.7,14,2,NA
"142","v2","-1+ thru  13","PB","65+",6380.2,10,2,"0.71 (0.32, 1.61)"
"143","v1","13+ thru  20","PB","65+",1861.8,5,3,NA
"144","v2","13+ thru  20","PB","65+",1869.6,0,0,"0 (0, Inf)"
"145","v1","20+ thru  27","PB","65+",1739.6,6,3,NA
"146","v2","20+ thru  27","PB","65+",1749.1,1,1,"0.17 (0.02, 1.38)"
"147","v1","27+ thru  34","PB","65+",1711.5,3,2,NA
"148","v2","27+ thru  34","PB","65+",1722.5,0,0,"0 (0, Inf)"
"149","v1","34+ thru  41","PB","65+",1703.6,0,0,NA
