"","vacc","z.yr","vacc_type","group","pyears","event","Rate","RR_est"
"126","vacc","20+ thru  27","AZ","18-64",5803.8,9,2,"0.32 (0.15, 0.68)"
"127","uv","27+ thru  34","AZ","18-64",5682.5,26,5,NA
"128","vacc","27+ thru  34","AZ","18-64",5681.9,7,1,"0.27 (0.12, 0.62)"
"129","uv","34+ thru  41","AZ","18-64",5603.7,13,2,NA
"130","vacc","34+ thru  41","AZ","18-64",5602.9,13,2,"1 (0.46, 2.16)"
"131","uv","41+ thru  48","AZ","18-64",5544.7,11,2,NA
"132","vacc","41+ thru  48","AZ","18-64",5543.5,5,1,"0.46 (0.16, 1.31)"
"133","uv","48+ thru  55","AZ","18-64",5425.4,8,1,NA
"134","vacc","48+ thru  55","AZ","18-64",5424,4,1,"0.5 (0.15, 1.66)"
"135","uv","55+ thru  62","AZ","18-64",5034,9,2,NA
"136","vacc","55+ thru  62","AZ","18-64",5032.3,7,1,"0.78 (0.29, 2.09)"
"137","uv","62+ thru  69","AZ","18-64",4405.4,9,2,NA
"138","vacc","62+ thru  69","AZ","18-64",4403,5,1,"0.56 (0.19, 1.66)"
"139","uv","69+ thru 203","AZ","18-64",5595.9,10,2,NA
"140","vacc","69+ thru 203","AZ","18-64",5546.8,23,4,"2.32 (1.1, 4.88)"
"141","uv","-1+ thru  13","PB","18-64",14090.9,101,7,NA
"142","vacc","-1+ thru  13","PB","18-64",14092,48,3,"0.48 (0.34, 0.67)"
"143","uv","13+ thru  20","PB","18-64",6081.1,44,7,NA
"144","vacc","13+ thru  20","PB","18-64",6082.3,19,3,"0.43 (0.25, 0.74)"
"145","uv","20+ thru  27","PB","18-64",5658.3,42,7,NA
"146","vacc","20+ thru  27","PB","18-64",5659.8,15,3,"0.36 (0.2, 0.64)"
"147","uv","27+ thru  34","PB","18-64",5097,35,7,NA
"148","vacc","27+ thru  34","PB","18-64",5099,3,1,"0.09 (0.03, 0.28)"
"149","uv","34+ thru  41","PB","18-64",4853.8,20,4,NA
"150","vacc","34+ thru  41","PB","18-64",4856.2,7,1,"0.35 (0.15, 0.83)"
"151","uv","41+ thru  48","PB","18-64",4681.4,22,5,NA
"152","vacc","41+ thru  48","PB","18-64",4684,5,1,"0.23 (0.09, 0.6)"
"153","uv","48+ thru  55","PB","18-64",4437.2,23,5,NA
"154","vacc","48+ thru  55","PB","18-64",4439.9,5,1,"0.22 (0.08, 0.57)"
"155","uv","55+ thru  62","PB","18-64",3687.7,14,4,NA
"156","vacc","55+ thru  62","PB","18-64",3690,4,1,"0.29 (0.09, 0.87)"
"157","uv","62+ thru  69","PB","18-64",2806.2,8,3,NA
"158","vacc","62+ thru  69","PB","18-64",2807.8,2,1,"0.25 (0.05, 1.18)"
"159","uv","69+ thru 203","PB","18-64",3105.6,7,2,NA
"160","vacc","69+ thru 203","PB","18-64",3088.4,4,1,"0.57 (0.17, 1.96)"
