"","rr","rr_lwr","rr_upr","day","rr_ci","event_vacc","event_uv"
"71",0.714512550819666,0.53449035032404,0.955168198956844,71,"0.71 (0.53, 0.96)",7,3
"72",0.738853817338607,0.555037422226824,0.983546228659048,72,"0.74 (0.56, 0.98)",3,6
"73",0.764024316675176,0.575824883703726,1.01373381559403,73,"0.76 (0.58, 1.01)",3,4
"74",0.790052298265996,0.596801460617033,1.04587986991526,74,"0.79 (0.6, 1.05)",2,7
"75",0.816966973919961,0.617916943548282,1.08013713403505,75,"0.82 (0.62, 1.08)",0,1
"76",0.844798550603317,0.63912397605813,1.11666064462672,76,"0.84 (0.64, 1.12)",5,6
"77",0.873578264341683,0.660379717976766,1.15560633247231,77,"0.87 (0.66, 1.16)",1,5
"78",0.903338415276891,0.681647234491591,1.19712991005325,78,"0.9 (0.68, 1.2)",3,4
"79",0.93411240391828,0.702896494642261,1.24138616397295,79,"0.93 (0.7, 1.24)",0,4
"80",0.965934768628775,0.724104915045801,1.28852871712231,80,"0.97 (0.72, 1.29)",2,3
"81",0.998841224388243,0.745257444476362,1.33871026573697,81,"1 (0.75, 1.34)",5,1
"82",1.03286870287697,0.76634623924103,1.39208324221609,82,"1.03 (0.77, 1.39)",1,1
"83",1.0680553939252,0.787370017986459,1.4488008159238,83,"1.07 (0.79, 1.45)",2,1
"84",1.1044407883745,0.808333203009643,1.50901812579722,84,"1.1 (0.81, 1.51)",1,0
"85",1.14206572239893,0.829244954421597,1.57289363935697,85,"1.14 (0.83, 1.57)",1,0
"86",1.18097242333675,0.850118188669084,1.64059054761005,86,"1.18 (0.85, 1.64)",2,1
"87",1.22120455708303,0.870968650484485,1.7122781278187,87,"1.22 (0.87, 1.71)",1,2
"88",1.26280727709685,0.891814083237502,1.78813303026084,88,"1.26 (0.89, 1.79)",1,0
"89",1.30582727507813,0.912673521054961,1.86834046677168,89,"1.31 (0.91, 1.87)",1,0
"90",1.35031283337087,0.933566709122105,1.95309529586876,90,"1.35 (0.93, 1.95)",1,2
"91",1.39631387915146,0.954513646816925,2.04260301108608,91,"1.4 (0.95, 2.04)",2,0
"92",1.443882040463,0.975534241252861,2.13708064628682,92,"1.44 (0.98, 2.14)",0,0
"93",1.49307070415896,0.996648055422827,2.23675761517637,93,"1.49 (1, 2.24)",1,0
"94",1.54393507582028,1.01787413435476,2.34187650308971,94,"1.54 (1.02, 2.34)",0,0
"95",1.59653224171379,1.03923089354579,2.45269382835119,95,"1.6 (1.04, 2.45)",0,0
"96",1.65092123286176,1.06073605568475,2.56948078884178,96,"1.65 (1.06, 2.57)",1,0
"97",1.70716309129341,1.08240662377758,2.69252400738573,97,"1.71 (1.08, 2.69)",1,0
"98",1.76532093855425,1.10425888092609,2.82212628752826,98,"1.77 (1.1, 2.82)",1,0
"99",1.82546004654827,1.12630840898041,2.9586073893922,99,"1.83 (1.13, 2.96)",2,0
"100",1.88764791079466,1.14857012000728,3.10230483368735,100,"1.89 (1.15, 3.1)",0,1
"101",1.95195432617942,1.17105829595414,3.25357474060349,101,"1.95 (1.17, 3.25)",1,0
"102",2.01845146528732,1.19378663305968,3.41279270926204,102,"2.02 (1.19, 3.41)",1,0
"103",2.08721395940425,1.216768288491,3.58035474259009,103,"2.09 (1.22, 3.58)",0,0
"104",2.15831898227557,1.24001592740505,3.75667822186721,104,"2.16 (1.24, 3.76)",1,1
"105",2.23184633672205,1.26354176919136,3.94220293479295,105,"2.23 (1.26, 3.94)",0,0
"106",2.30787854420264,1.28735763206016,4.1373921606129,106,"2.31 (1.29, 4.14)",1,1
"107",2.38650093743194,1.31147497545698,4.34273381570166,107,"2.39 (1.31, 4.34)",0,1
"108",2.46780175614981,1.33590494000141,4.5587416628983,108,"2.47 (1.34, 4.56)",0,0
"109",2.55187224615481,1.36065838481555,4.78595658790432,109,"2.55 (1.36, 4.79)",0,0
"110",2.6388067617135,1.38574592221856,5.02494794609732,110,"2.64 (1.39, 5.02)",0,0
"111",2.72870287145297,1.41117794983637,5.27631498319477,111,"2.73 (1.41, 5.28)",0,1
"112",2.82166146786781,1.43696468023712,5.54068833336677,112,"2.82 (1.44, 5.54)",0,0
"113",2.91778688055202,1.463116168221,5.8187315985121,113,"2.92 (1.46, 5.82)",2,0
"114",3.01718699329134,1.48964233592157,6.11114301263099,114,"3.02 (1.49, 6.11)",1,0
"115",3.11997336514298,1.51655299587646,6.41865719540906,115,"3.12 (1.52, 6.42)",0,2
"116",3.22626135564161,1.54385787223033,6.74204699935845,116,"3.23 (1.54, 6.74)",1,0
"117",3.33617025427119,1.57156662022658,7.08212545509478,117,"3.34 (1.57, 7.08)",1,0
"118",3.44982341434358,1.59968884413622,7.43974781957019,118,"3.45 (1.6, 7.44)",0,0
"119",3.56734839144195,1.62823411377023,7.81581373237292,119,"3.57 (1.63, 7.82)",0,0
"120",3.68887708658166,1.65721197970571,8.21126948546661,120,"3.69 (1.66, 8.21)",0,0
"121",3.81454589424228,1.68663198734553,8.62711041202359,121,"3.81 (1.69, 8.63)",0,0
"122",3.94449585544901,1.71650368992985,9.06438340035857,122,"3.94 (1.72, 9.06)",0,0
"123",4.07887281606386,1.74683666059765,9.52418953923978,123,"4.08 (1.75, 9.52)",0,0
"124",4.2178275904744,1.77764050359571,10.0076869012505,124,"4.22 (1.78, 10.01)",0,0
"125",4.36151613085473,1.80892486471793,10.5160934711748,125,"4.36 (1.81, 10.52)",0,0
"126",4.51009970219453,1.84069944105389,11.0506902268026,126,"4.51 (1.84, 11.05)",0,0
"127",4.66374506328989,1.87297399011608,11.6128243799119,127,"4.66 (1.87, 11.61)",3,0
"128",4.82262465390296,1.90575833841087,12.2039127856191,128,"4.82 (1.91, 12.2)",0,0
"129",4.98691678829126,1.93906238950638,12.8254455286877,129,"4.99 (1.94, 12.83)",0,0
"130",5.15680585533673,1.97289613165468,13.4789896958902,130,"5.16 (1.97, 13.48)",0,0
"131",5.33248252549123,2.00726964501094,14.1661933439513,131,"5.33 (2.01, 14.17)",0,0
"132",5.51414396476419,2.04219310849067,14.888789673087,132,"5.51 (2.04, 14.89)",0,0
"133",5.70199405601381,2.07767680630953,15.6486014167754,133,"5.7 (2.08, 15.65)",0,0
"134",5.89624362776403,2.11373113423128,16.4475454587991,134,"5.9 (2.11, 16.45)",0,0
"135",6.09711069082586,2.15036660556297,17.2876376893188,135,"6.1 (2.15, 17.29)",0,0
