"vacc_type","z.yr","n_uv","event_uv","n_vacc","event_vacc"
"PB",78,50139,0,49836,0
"PB",79,42109,3,41780,0
"PB",80,36526,0,36190,1
"PB",81,32343,0,31997,0
"PB",82,29820,0,29468,0
"PB",83,27626,0,27268,1
"PB",84,24900,0,24529,1
"PB",85,13463,0,13051,0
"PB",86,11974,0,11557,0
"PB",87,11243,2,10823,1
"PB",88,10798,1,10379,0
"PB",89,10392,0,9968,0
"PB",90,10015,0,9590,0
