"vacc_type","z.yr","n_uv","event_uv","n_vacc","event_vacc"
"PB",56,451211,4,452458,1
"PB",57,436781,7,437983,1
"PB",58,427924,4,429088,1
"PB",59,420087,2,421224,2
"PB",60,411863,4,412964,2
"PB",61,402570,5,403651,3
"PB",62,388771,0,389785,1
"PB",63,372314,2,373283,2
"PB",64,345015,1,345915,2
"PB",65,328267,1,329128,1
"PB",66,314329,1,315167,2
"PB",67,301721,1,302515,0
"PB",68,288726,2,289461,0
"PB",69,277993,2,278691,0
"PB",70,264156,3,264790,1
"PB",71,214800,1,215295,0
"PB",72,197752,2,198159,1
"PB",73,183643,2,183982,1
"PB",74,171023,0,171294,1
"PB",75,157499,0,157699,1
"PB",76,140468,0,140572,0
"PB",77,117180,1,117111,0
"PB",78,81029,0,80733,0
"PB",79,65767,0,65335,2
"PB",80,53686,0,53193,1
"PB",81,45978,0,45438,0
"PB",82,40130,1,39619,0
"PB",83,37009,0,36508,0
"PB",84,33187,0,32684,0
"PB",85,15489,0,14952,1
"PB",86,12981,0,12459,0
"PB",87,11882,0,11385,1
"PB",88,11164,0,10676,0
"PB",89,10597,0,10124,0
"PB",90,10229,0,9756,0
