"","vacc","z.yr","vacc_type","group","pyears","event","Rate","RR_est"
"96","vacc","55+ thru  62","AZ","18-64",3459.8,3,1,"0.38 (0.1, 1.41)"
"97","uv","62+ thru  69","AZ","18-64",1600.3,1,1,NA
"98","vacc","62+ thru  69","AZ","18-64",1597.3,2,1,"2 (0.18, 22.1)"
"99","uv","69+ thru 142","AZ","18-64",732.3,0,0,NA
"100","vacc","69+ thru 142","AZ","18-64",725.7,0,0,"1.01 (0, Inf)"
"101","uv","-1+ thru  13","PB","18-64",15301.5,134,9,NA
"102","vacc","-1+ thru  13","PB","18-64",15304.6,67,4,"0.5 (0.37, 0.67)"
"103","uv","13+ thru  20","PB","18-64",7299.8,52,7,NA
"104","vacc","13+ thru  20","PB","18-64",7303.2,27,4,"0.52 (0.33, 0.83)"
"105","uv","20+ thru  27","PB","18-64",6898.4,54,8,NA
"106","vacc","20+ thru  27","PB","18-64",6902.4,20,3,"0.37 (0.22, 0.62)"
"107","uv","27+ thru  34","PB","18-64",6728.9,32,5,NA
"108","vacc","27+ thru  34","PB","18-64",6733.9,4,1,"0.12 (0.04, 0.35)"
"109","uv","34+ thru  41","PB","18-64",6602.3,34,5,NA
"110","vacc","34+ thru  41","PB","18-64",6608,8,1,"0.24 (0.11, 0.51)"
"111","uv","41+ thru  48","PB","18-64",6426.3,33,5,NA
"112","vacc","41+ thru  48","PB","18-64",6432.5,6,1,"0.18 (0.08, 0.43)"
"113","uv","48+ thru  55","PB","18-64",6131.5,26,4,NA
"114","vacc","48+ thru  55","PB","18-64",6138.2,6,1,"0.23 (0.1, 0.56)"
"115","uv","55+ thru  62","PB","18-64",5346.1,15,3,NA
"116","vacc","55+ thru  62","PB","18-64",5352.4,7,1,"0.47 (0.19, 1.14)"
"117","uv","62+ thru  69","PB","18-64",3783.3,8,2,NA
"118","vacc","62+ thru  69","PB","18-64",3788,4,1,"0.5 (0.15, 1.66)"
"119","uv","69+ thru 142","PB","18-64",3415.2,5,1,NA
"120","vacc","69+ thru 142","PB","18-64",3412.5,5,1,"1 (0.29, 3.46)"
"121","uv","-1+ thru  13","AZ","65+",12144.7,642,53,NA
"122","vacc","-1+ thru  13","AZ","65+",12173.5,220,18,"0.34 (0.29, 0.4)"
"123","uv","13+ thru  20","AZ","65+",4365.4,131,30,NA
"124","vacc","13+ thru  20","AZ","65+",4396.4,69,16,"0.52 (0.39, 0.7)"
"125","uv","20+ thru  27","AZ","65+",4146.9,79,19,NA
"126","vacc","20+ thru  27","AZ","65+",4183.4,41,10,"0.51 (0.35, 0.75)"
"127","uv","27+ thru  34","AZ","65+",4093.8,54,13,NA
"128","vacc","27+ thru  34","AZ","65+",4134.2,21,5,"0.38 (0.23, 0.64)"
"129","uv","34+ thru  41","AZ","65+",4053.3,30,7,NA
"130","vacc","34+ thru  41","AZ","65+",4096.7,11,3,"0.36 (0.18, 0.72)"
"131","uv","41+ thru  48","AZ","65+",3990.6,39,10,NA
"132","vacc","41+ thru  48","AZ","65+",4036.1,9,2,"0.23 (0.11, 0.47)"
"133","uv","48+ thru  55","AZ","65+",3878.7,8,2,NA
"134","vacc","48+ thru  55","AZ","65+",3925.6,11,3,"1.36 (0.55, 3.38)"
"135","uv","55+ thru  62","AZ","65+",3576.4,17,5,NA
"136","vacc","55+ thru  62","AZ","65+",3619.5,7,2,"0.41 (0.17, 0.98)"
"137","uv","62+ thru  69","AZ","65+",2896.4,11,4,NA
"138","vacc","62+ thru  69","AZ","65+",2928.2,10,3,"0.9 (0.38, 2.12)"
"139","uv","69+ thru 142","AZ","65+",2600.6,2,1,NA
